축제명,개최장소,축제시작일자,축제종료일자,축제내용,주관기관,주최기관,후원기관,전화번호,홈페이지주소,관련정보,소재지도로명주소,소재지지번주소,위도,경도,데이터기준일자,제공기관코드,제공기관명
섬강축제,간현관광지 섬강 일원,2020-10-01,2020-10-01,공연/체험행사(맨손고기잡기 등),섬강축제위원회,섬강축제위원회,원주시,033-737-5504,,,강원도 원주시 지정면 소금산길 26,강원도 원주시 지정면 간현리 1056-5,37.36489188,127.8325403,2020-05-19,4190000,강원도 원주시
원주 용수골꽃양귀비축제,원주시 판부면 용수골길,2020-05-23,2020-05-31,양귀비 축제 체험장 설치/양귀비 꽃차등 부스 운영,용수골꽃양귀비축제추진위원회,원주 용수골 꽃양귀비 축제 추진위원회,원주시,033-764-4443,,,강원도 원주시 판부면 용수골길 326,강원도 원주시 판부면 서곡리 1765-7,37.2839426,127.9404457,2020-05-19,4190000,강원도 원주시
원주 다이내믹댄싱카니발,댄싱공연장,2020-09-08,2020-09-13,"댄싱카니발/테마가 있는 문화예술공연/프린지 페스티벌/프리댄싱 페스타/군부대 체험행사, 기타 부대행사 등",(재)원주문화재단,"원주시, 제36사단",,033-763-9114,http://www.ddcwj.com/,,강원도 원주시 단구로 170,강원도 원주시 명륜동 345,37.336428,127.9462616,2020-05-19,4190000,강원도 원주시
원주 한지문화제,원주한지테마파크 일원,2020-09-03,2020-09-06,"풀뿌리한지등 및 한지조형등전/한지뜨기 한마당/와글와글 종이놀이터/아티스트 워크숍/아트 플리마켓, 소공연 등 부대행사",원주한지문화제위원회,(사)한지개발원,,033-734-4739,http://www.wonjuhanji.co.kr/,,강원도 원주시 한지공원길 151,강원도 원주시 무실동 16,37.33437725,127.9353773,2020-05-19,4190000,강원도 원주시
제24회 무안연꽃추제,회산백련지 일원,2020-07-23,2020-07-26,"아이스존, 연자방 소방등 달기, 연꽃 팥빙수 나눔잔치, 연잎들고 연꽃길 걷기, 연 공예체험 등",무안군,무안군축제추진위원회,,061-450-5472,http://tour.muan.go.kr/,,전라남도 무안군 일로읍 백련로 333,전라남도 무안군 일로읍 복룡리 150,34.86008849,126.5298962,2020-01-20,4950000,전라남도 무안군
제8회 무안황토갯벌축제,무안황토갯벌랜드 일원,2020-06-12,2020-06-14,"풍요깃발퍼레이드, 농게·낙지·운저리잡기 체험 등",무안군,무안군축제추진위원회,,061-450-5472,http://tour.muan.go.kr/,,전라남도 무안군 해제면 용산길 140,전라남도 무안군 해제면 유월리 1-1,35.10332391,126.3319409,2020-01-20,4950000,전라남도 무안군
울산고래축제,울산광역시 남구 장생포 일원,2020-06-19,2020-06-21,고래축제,고래문화재단,울산광역시 남구청,,052-226-1991,http://www.ulsanwhale.com,"선사고래잡이재현, 체험행사, 고래바다여행선체험 등",울산광역시 남구 장생포고래로 288번길 20 (매암동),울산광역시 남구 매암동 139-26,35.5043992791,129.3872929992,2020-05-15,3700000,울산광역시 남구
2020 선암호수가요제,선암호수공원축구장,2020-09-26,2020-09-26,가요제,울산mbc,울산 남구청,,052-226-5413,,가요제,,울산광역시 남구 선암동 487-1,35.517239,129.326257,2020-05-15,3700000,울산광역시 남구
부안마실축제,부안읍 일원(주행사장: 매창공원),2020-09-18,2020-09-20,개막공연등 5종 46개 프로그램 운영,부안마실축제제전위원회,부안마실축제제전위원회,부안군,063-580-4778,http://www.buanmasil.com/,,전라북도 부안군 부안읍 매창로 89,전라북도 부안군 부안읍 서외리 566,35.71882124,126.7286953,2020-05-14,4790000,전라북도 부안군
곰소젓갈발효축제,곰소다용도부지 일원,2020-09-25,2020-09-27,"개막식, 폐막식, 축하공연, 노래자랑, 체험, 관광객 참여 이벤트 등",곰소젓갈발효축제추진위원회,곰소젓갈발효축제추진위원회,부안군,063-580-4778,,,전라북도 부안군 진서면 곰소7길 16,전라북도 부안군 진서면 곰소리 911,35.58746134,126.6126718,2020-05-14,4790000,전라북도 부안군
제27회 대덕제 대구앞산축제,"대구앞산빨래터공원, 앞산맛둘레길일대",2020-04-25,2020-04-26,코로나19 확산방지를 사유로 취소,남구문화행사추진원회,남구문화행사추진원회,"대구광역시, 대구광역시 남구",053-664-3262,,,대구광역시 남구 앞산순환로 351-17,대구광역시 남구 대명동 1550-39,35.831799,128.5645966,2020-05-02,3440000,대구광역시 남구
제14회 신천돗자리음악회,신천둔치 중동교남편,2020-07-25,2020-07-26,"대프리카콘서트, 신천돗자리트롯가요제, 라이트 아트 공연, 아이스 이벤트, 쿨존 등",남구문화행사추진원회,남구문화행사추진원회,"대구광역시, 대구광역시 남구",053-664-3262,,,대구광역시 남구 봉덕2동,대구광역시 남구 봉덕2동,35.840562,128.606693,2020-05-02,3440000,대구광역시 남구
K-POP광장 야외시네마,코엑스 K-POP광장,2019-04-26,2019-10-04,야외시네마 및 부대행사,강남구,서울특별시 강남구,,02-3423-5535,http://www.gangnam.go.kr/board/article/2425/view.do?mid=FM0503&pgno=1&keyfield=bdm_main_title&keyword=야외시네마&schArticle=ARTICLE_03,"국내최대 옥외전광판을 활용한 야외영화제(4/26-27, 5/3-4,  10/1-4)",서울특별시 강남구 영동대로 513(삼성동),,37.51182328,127.0591597,2020-05-07,3220000,서울특별시 강남구
내 집 앞 세계영화제,강남구 전역,2019-03-29,2019-10-19,주민생활 공간 곳곳에서 세계영화 상영,강남구,서울특별시 강남구,,02-3423-5535,https://www.gangnamfilm.com/,3-10월까지 주민생활공간 곳곳에서 세계영화상영,서울특별시 강남구 전역,,,,2020-05-07,3220000,서울특별시 강남구
K-POP 뮤직페스티벌,코엑스 광장,2019-05-30,2019-10-03,상시 K-POP 공연,강남구,서울특별시 강남구,사)한국무역협회,02-3423-5535,www.facebook.com/2019KMF/,"관내 기획사와 연계한 상시 K-POP공연(5/30-6/1, 8/16-17, 9/30-10/3)",서울특별시 강남구 영동대로 513(삼성동),,37.51182328,127.0591597,2020-05-07,3220000,서울특별시 강남구
2019 강남페스티벌 패션쇼,도산공원,2019-09-28,2019-09-29,패션축제를 통한 지역경제 활성화 유도,강남문화재단,서울특별시 강남구,,02-6712-0512,www.gfac.kr,,서울특별시 강남구 영동대로 513(삼성동),,37.51182328,127.0591597,2020-05-07,3220000,서울특별시 강남구
2019 강남페스티벌,강남구 전역,2019-09-26,2019-10-05,"개막제, K-POP 콘서트 등",강남구,강남구+강남문화재단+(사)한국무역협회,현대백화점 면세점+GKL+제일타카㈜,02-3423-5534,http://festival.gangnam.kr/,,서울특별시 강남구 영동대로 513(삼성동),,37.51182328,127.0591597,2020-05-07,3220000,서울특별시 강남구
C-festival 2019,코엑스 영동대로,2019-05-02,2019-05-06,"인사이트 콘서트, 잇더서울, Craft Beer Festival 등",강남구+CMC위원회+코엑스,무역협회+서울특별시 강남구,서울특별시+한국관광공사 등,02-6000-8121,http://www.c-festival.com/index.html,,서울특별시 강남구 영동대로 513(삼성동),,37.51182328,127.0591597,2020-05-07,3220000,서울특별시 강남구
롤링나이트 2019,코엑스 K-POP광장,2019-06-05,2019-06-30,"야외롤러장, 부대행사",코엑스,강남구+(사)한국무역협회,,02-6000-1125,http://www.coex.co.kr/?post_type=urbanpark&p=25495,,서울특별시 강남구 영동대로 513(삼성동),,37.51182328,127.0591597,2020-05-07,3220000,서울특별시 강남구
365일 펀앤판 강남,"강남역, 코엑스 등",2019-04-01,2019-11-22,"탑싱아, 댄스킹, G스타킹, 거리버스킹, 청춘밴드, LIVE연가, 거리예술마당, 외국인공연단",서울특별시 강남구,서울특별시 강남구,,02-3423-5543,https://kpopcon.net,강남구 전역에서 누구나 함께 즐길 수 있는 지역별 특색 있는 다양한 거리공연,서울특별시 강남구 전역,,,,2020-05-07,3220000,서울특별시 강남구
개항제례,창원시립 마산음악관 야외,2018-05-01,2018-05-01,"개항제례, 전시행사, 경연행사, 전시/체험행사",마산예총,창원시,,,,,경상남도 창원시 마산합포구 수산2길 35,,35.19757501,128.5719112,2020-01-01,5670000,경상남도 창원시
창원진동불꽃낙화축제,창원진동면 광암항,2018-04-15,2018-04-15,"축하공연, 개막식, 불꽃낙화 점화 등","창원서부수협, 진동면청년회","창원진동미더덕축제위원회, 창원진동불꽃낙화축제위원회",,,,,경상남도 창원시 마산합포구 진동면 광암해안길16-1,경상남도 창원시 마산합포구 진동면 요장리 267-37,35.1041899480,128.4971464730,2020-01-01,5670000,경상남도 창원시
야철제,성산패총,2018-06-30,2018-06-30,"초혼제, 불씨봉송 및 점화, 제례등",창원시,창원시,,,,,경상남도 창원시 성산구 성산패총로 137,경상남도 창원시 성산구 외동 853-7,35.2079322335,128.6792734965,2020-01-01,5670000,경상남도 창원시
마산만날제,만날공원,2018-09-25,2018-09-27,"개막식, 당산제등","마산예총, 마산만날제운영위원회",마산예총,,,,,,경상남도 창원시 마산합포구 월영동 산177,,,2020-01-01,5670000,경상남도 창원시
남산상봉제,남산공원,2018-09-29,2018-09-30,"개막식, 상봉가요제, 남산어울림한마당, 체험행사 등",창원남산상봉제 축제위원회,창원남산상봉제 축제위원회,,,,,경상남도 창원시 의창구 팔용로 494-37,,35.2576729855,128.6191962987,2020-01-01,5670000,경상남도 창원시
소요단풍문화제,소요산 및 동두천관내,2020-10-31,2020-11-01,단풍의 아름다움을 널리 알리기 위해 1986년부터 시작되어 매년 10월말경이면 동두천시 전역과 소요산에서 펼쳐지는 동두천의 대표적인 축제,동두천문화원,동두천문화원,"동두천시, 동두천시의회 등",031-860-2063,http://www.ddc.go.kr,,경기도 동두천시 평화로2910번길 145,경기도 동두천시 상봉암동 산 1-1,37.94652177,127.0693409,2020-05-22,3920000,경기도 동두천시
동두천락페스티벌,소요산 및 보산동관광특구,2020-08-29,2020-08-30,동두천시에서 해마다 여름에 열리는 록 음악 축제,동두천 락페스티벌 조직위원회,동두천 락페스티벌 조직위원회,"동두천시, 동두천시의회 등",031-863-0351,http://www.ddc.go.kr,,경기도 동두천시 평화로2910번길 145,경기도 동두천시 상봉암동 산 1-1,37.94652177,127.0693409,2020-05-22,3920000,경기도 동두천시
제38회 해운대달맞이온천축제,해운대 해수욕장,2020-02-06,2020-02-08,해운대 월출과 온천을 소재로 민속축제를 계승 재현(축제취소),해운대지구발전협의회,해운대지구발전협의회,해당없음,051-746-0276,http://hudbj.kr/g5/,,,부산광역시 해운대구 중동 1015,35.15793348,129.1724709,2020-04-28,3330000,부산광역시 해운대구
정월대보름 달맞이 행사,보건소앞 공원,2020-02-08,2020-02-08,"한해의 풍요와 시민의 안녕과 지역발전을 기원하는 한 편, 동별로 시민화합을 위한 축제의 한마당을 제고하는 행사",동두천문화원,동두천문화원,"동두천시, 동두천시의회 등",031-860-2063,http://www.ddc.go.kr,,,경기도 동두천시 생연동 715-6,37.89638739,127.0532018,2020-05-22,3920000,경기도 동두천시
왕방산 국제MTB대회,왕방산 일원,2019-10-20,2019-10-20,국제MTB대회,(사)대한자전거연맹,(사)대한자전거연맹,"동두천시, 동두천시의회 등",031-860-2209,http://mtb.ddc.go.kr,,경기도 동두천시 어등로 45,경기도 동두천시 생연동 70,37.90083977,127.0704987,2020-05-22,3920000,경기도 동두천시
2019 제4회 이담농악두드림대축제,중앙 도심교통광장,2019-06-15,2019-06-15,동두천시 무형문화재 제3호 이담농악보존회에서 주관하는 축제,이담농악보존회,이담농악보존회,동두천시,031-860-2063,http://www.ddc.go.kr,,경기도 동두천시 중앙로 268,경기도 동두천시 생연동 594-1,37.90543939,127.0546796,2020-05-22,3920000,경기도 동두천시
제4회 동두천 국제 트레일러닝 대회,종합운동장,2019-04-20,2019-04-20,천혜의 자연 경관을 바탕으로 명실상부한 국내 최고의 트레일러닝대회,럭엑스런,럭엑스런,"동두천시, 문화체육관광부",031-860-2209,http://www.korea50k.com,,경기도 동두천시 어등로 45,경기도 동두천시 생연동 70,37.90083977,127.0704987,2020-05-22,3920000,경기도 동두천시
상패남산축제,상패동수변공원,2018-09-08,2018-09-08,"공연,체험,먹거리장터등",상패동주민자치위원회,경기도 동두천시 상패동주민센터,,031-860-3180,http://www.ddc.go.kr,,경기도 동두천시 어수로 8,경기도 동두천시 상패동 122-2,37.90537169,127.0442776,2020-05-22,3920000,경기도 동두천시
천사마라톤대회,종합운동장,2018-10-03,2018-10-03,천사데이기념 마라톤대회,사)희망지킴이 천사운동본부,사)희망지킴이 천사운동본부,"경기도, 동두천시, 동두천시의회, 한국수자원공사 동두천수도서비스관리단",031-861-1004,http://www.hope1004.org,,경기도 동두천시 어등로 45,경기도 동두천시 생연동 70,37.90083977,127.0704987,2020-05-22,3920000,경기도 동두천시
동두천 청소년 별자리과학 축제,종합운동장,2018-10-13,2018-10-13,경기북부지역 청소년들의 과학과 수학에 대한 자신감과 흥미유발,(사)어수회,"경기도,동두천시","동두천시의회, 경기문화재단, 동두천양주교육지원청 등",031-860-2439,http://www.ddc.go.kr,,경기도 동두천시 어등로 45,경기도 동두천시 생연동 70,37.90083977,127.0704987,2020-05-22,3920000,경기도 동두천시
동두천시 자원봉사 축제,송내동 시민평화공원,2018-10-20,2018-10-20,"자원봉사자와 시민, 청소년 모두가 하나되는 나눔의 장",(사)동두천시자원봉사센터,동두천시,동두천시의회 등,031-860-2214,http://www.ddc.go.kr,,경기도 동두천시 중앙로 125,경기도 동두천시 지행동 691-5,37.89275541,127.0517461,2020-05-22,3920000,경기도 동두천시
DDC할로윈클럽데이,보산동 한미우호광장,2018-10-27,2018-10-28,할로윈데이를 모티브로 한 젊은층 맞춤형 페스티벌,"경기관광공사,경기도미술관","경기도,동두천시",동두천시의회 등,031-860-2627,http://www.ddc.go.kr,,경기도 동두천시 상패로216번길 42,경기도 동두천시 보산동 429-4,37.91584622,127.0565068,2020-05-22,3920000,경기도 동두천시
2020 대한민국 국향대전,함평엑스포공원,2020-10-16,2020-11-01,"가을 정취와 어울리는 다양한 국화작품 전시 · 연출, 체험 · 문화예술 공연 등",함평군축제추진위원회,함평군,"농림축산식품부, 농촌진흥청, 전라남도, 한국관광공사, 대한민국 국화동호회",061-320-1782,www.hampyeong.go.kr,,전라남도 함평군 함평읍 함장로 1160,전라남도 함평군 함평읍 내교리 82-2,35.05618964,126.5199487,2020-05-25,4960000,전라남도 함평군
제13회 마포나루 새우젓축제,서울월드컵공원 평화의 광장 일원,2020-10-16,2020-10-18,"개장식, 기념식, 문화행사, 체험행사, 판매행사",마포문화원,서울특별시 마포구,,02-3153-8353,http://www.mapo.go.kr/site/maponarusf/home,,서울특별시 마포구 월드컵로 243-60(성산동),서울특별시 마포구 성산동 390-1,37.5635262478,126.8984363299,2020-05-26,3130000,서울특별시 마포구
제11회서면우리문화축제,부산시민공원 국립아트센터 부지,2020-10-15,2020-10-16,"전통,창작 공연, 전통 놀이·체험, 민속품 전시, 부대행사 등",부산광역시 부산진구청,부산광역시 부산진구청,,051-605-4064,http://tour.busanjin.go.kr,,부산광역시 부산진구 시민공원로 73 (범전동),부산광역시 부산진구 범전동 200,35.16545561,129.0558558,2020-05-26,3290000,부산광역시 부산진구
제10회 부산진구 북페스티벌,부산시민공원 다솜관,2020-09-19,2020-09-19,"인형극, 전시행사, 체험행사, 부대행사",부산광역시 부산진구청,부산광역시 부산진구청,,051-605-6271,http://tour.busanjin.go.kr,,부산광역시 부산진구 시민공원로 73 (범전동),부산광역시 부산진구 범전동 200,35.16545561,129.0558558,2020-05-26,3290000,부산광역시 부산진구
서면메디컬스트리트 축제,서면메디컬스트리트 일대,2020-10-23,2020-10-24,"개막행사, 의료체험, 문화체험, 연계행사 등",부산광역시 부산진구청,(사)SMS의료관광협의회,,051-605-6021,https://www.busanjin.go.kr/index.busanjin?menuCd=DOM_000001003003002000,,부산광역시 부산진구 가야대로 777(부전동),부산광역시 부산진구 부전동 486-12,35.1579588,129.0566547,2020-05-26,3290000,부산광역시 부산진구
전포카페거리축제,전포카페거리 일원,2020-10-09,2020-10-11,"개막식,퍼레이드,버스킹,체험 이벤트,  아트마켓 등",부산광역시 부산진구청,전포카페거리상인회,,051-605-4525,https://www.busanjin.go.kr/index.busanjin?menuCd=DOM_000001003003006000,,부산광역시 부산진구 동천로 92(전포동),부산광역시 부산진구 전포동 668-1,35.1570356,129.0630291,2020-05-26,3290000,부산광역시 부산진구
해맞이축제,개화산 정상,2020-01-01,2020-01-01,"소망엽서 보내기, 문화공연, 해오름 행사",서울특별시 강서구청,서울특별시 강서구청,서울특별시 강서구의회,02-2600-6455,http://www.gangseo.seoul.kr/site/munhwa/index.jsp,,서울특별시 강서구 금낭화로17길 213,서울특별시 강서구 개화동 산91-4,37.58138626,126.8054465,2020-05-25,3150000,서울특별시 강서구
개화산 봄꽃축제,방화근린공원,2020-04-18,2020-04-18,"건강걷기, 지역예능인한마당, 플라워 콘서트",강서문화원,서울특별시 강서구청,서울특별시 강서구의회,02-2600-6455,http://www.gangseo.seoul.kr/site/munhwa/index.jsp,,서울특별시 강서구 금낭화로 176,서울특별시 강서구 방화동 855,37.58093172,126.8141197,2020-05-25,3150000,서울특별시 강서구
제28회 영도다리축제,"영도대교 일원, 아미르공원",2020-10-16,2020-10-18,"개막주제공연, 축하공연, 불꽃쇼, 퍼레이드, 체험행사 등",영도문화원,영도구,,051-419-4064,https://korean.visitkorea.or.kr/detail/content_view.html?cid=1080734,,부산광역시 영도구 동삼동 1165,부산광역시 영도구 동삼동 1165,35.07714964,129.0793867,2020-06-02,3280000,부산광역시 영도구
응봉산 해맞이축제,서울특별시 성동구 응봉동 응봉산,2020-01-01,2020-01-01,"신년 북 다고, 새해 덕담, 해돋이 감상",서울특별시 성동구청,서울특별시 성동구청,,02-2286-5203,www.sd.go.kr,,서울특별시 성동구 응봉동 응봉산,서울특별시 성동구 응봉동 응봉산,37.548551,127.030821,2020-06-08,3030000,서울특별시 성동구
감자옥수수 축제,현리 생태공원 일원,2020-07-18,2020-07-19,감자옥수수 홍보 판매,옥수수·감자축제 위원회,옥천군,,043-730-4611,,"육영수생가, 정지용문학관, 장령산자연휴양림　",충청북도 옥천군 안내면 현리길 91-10,충청북도 옥천군 안내면 현리 462-2,36.3926000598,127.6597717939,2020-06-02,4430000,충청북도 옥천군
지용제,정지용생가 및 구읍일원,2020-10-15,2020-10-18,"지용문학상 시상 등 문학프로그램 운영, 방문객 참여 및 체험프로그램, 각종 전시행사 등",옥천문화원,옥천군,,,,,충청북도 옥천군 옥천읍 향수길 56,충청북도 옥천군 옥천읍 하계리 39,36.31501588,127.5815719,2020-06-08,4430000,충청북도 옥천군
대둔산철쭉제,대둔산 수락주차장 및 철쭉꽃단지,2019-04-26,2019-05-05,등산객 및 관광객들에게 산철쭉의 화사한 봄의 비경 선사,벌곡면주민자치회,충청남도 논산시,,041-746-8769,http://www.벌곡면주민자치회.kr/board/freeboard,철쭉단지탐방+먹거리장터운영+마을별노래자랑+지역연예인초청공연,충청남도 논산시 벌곡면 수락계곡길 248,충청남도 논산시 벌곡면 수락리 113-15,36.14380913,127.3048094,2020-05-28,4540000,충청남도 논산시
연산백중놀이,연산시장,2020-09-02,2020-09-02,연산백중놀이 정기공연,연산백중놀이보존회,충청남도 논산시,,041-734-1576,http://www.nonsan.go.kr/tour/html/sub03/030102.html,,충청남도 논산시 연산면 연산4길 10-7,충청남도 논산시 연산면 연산리 394,36.21626789,127.216075,2020-05-28,4540000,충청남도 논산시
상월고구마축제,금강대학교 운동장,2020-09-19,2020-09-20,고구마 판매 및 캐기체험,상월명품고구마축제추진위원회,충청남도 논산시,,041-746-8671,http://www.nonsan.go.kr/tour/html/sub03/030103.html,고구마캐기체험+군고구마무료시식,충청남도 논산시 상월면 상월로 522,충청남도 논산시 상월면 대명리 14-9,36.30682479,127.1897138,2020-05-28,4540000,충청남도 논산시
양촌곶감축제,양촌리 체육공원,2019-12-14,2019-12-15,곶감축제,양촌곶감축제추진위원회,충청남도 논산시,,041-746-8797,http://www.nonsan.go.kr/tour/html/sub03/03010703.html,전국곶감가요제+송어잡기체험+감깍기체험+청소년댄스경연대회+메추리구워먹기+양촌곶감판매장운영,충청남도 논산시 양촌면 이메길 25,충청남도 논산시 양촌면 채광리 449-24,36.13116293,127.2453523,2020-05-28,4540000,충청남도 논산시
보성차밭 빛축제,봇재 차밭 일원,2020-12-11,2021-01-10,"빛 경관조명, 체험행사",보성군,보성군,전라남도,061-850-5211,http://www.boseong.go.kr/tour/festivity/light_festival,,전라남도 보성군 보성읍 녹차로 775,전라남도 보성군 보성읍 봉산리 1197,34.7198767,127.081709,2020-06-08,4890000,전라남도 보성군
벌교꼬막축제,벌교읍천변,2019-10-31,2019-11-03,"꼬막체험, 갯벌체험 등",벌교꼬막축제추진위원회,벌교꼬막축제추진위원회,보성군,061-857-7676,http://www.boseong.go.kr/tour/festivity/cockle,,전라남도 보성군 벌교읍 벌교천1길 19,전라남도 보성군 벌교읍 회정리 547-2,34.84476516,127.3464624,2020-06-08,4890000,전라남도 보성군
보성차밭 빛축제,봇재 차밭 일원,2020-12-11,2021-01-10,"빛 경관조명, 체험행사",보성군,보성군,전라남도,061-850-5211,http://www.boseong.go.kr/tour/festivity/light_festival,,전라남도 보성군 보성읍 녹차로 775,전라남도 보성군 보성읍 봉산리 1197,34.7198767,127.081709,2020-06-08,4890000,전라남도 보성군
벌교꼬막축제,벌교읍천변,2019-10-31,2019-11-03,"꼬막체험, 갯벌체험 등",벌교꼬막축제추진위원회,벌교꼬막축제추진위원회,보성군,061-857-7676,http://www.boseong.go.kr/tour/festivity/cockle,,전라남도 보성군 벌교읍 벌교천1길 19,전라남도 보성군 벌교읍 회정리 547-2,34.84476516,127.3464624,2020-06-08,4890000,전라남도 보성군
보성전어축제,율포솔밭해수풀장,2019-08-24,2019-08-25,"전어잡기,체험 등",보성전어축제추진위원회,보성전어축제추진위원회,보성군,061-850-8395,http://www.boseong.go.kr/tour/festivity/gizzard_shad,,전라남도 보성군 회천면 우암길 24,전라남도 보성군 회천면 동율리 678,34.6700298,127.0890226,2020-06-08,4890000,전라남도 보성군
음성품바축제,설성공원,2020-08-26,2020-08-30,품바공연,품바축제기획실무위원회,음성군 축제추진 위원회,충청북도 음성군,043-873-2241,http://www.pumba21.com/,,충청북도 음성군 음성읍 예술로 102,충청북도 음성군 음성읍 읍내리 366-17,36.93152313,127.6806296,2020-05-26,4470000,충청북도 음성군
설성문화제,설성공원 또는 종합운동장,2020-10-16,2020-10-18,민속놀이,설성문화제기획실무위원회,음성군 축제추진 위원회,충청북도 음성군,043-872-4084,http://eumseong.kccf.or.kr,2020년 행사일정 미확정,충청북도 음성군 음성읍 수정로 38,충청북도 음성군 음성읍 읍내리 446-1,36.93427623,127.6906949,2020-05-26,4470000,충청북도 음성군
음성명작페스티벌,금왕읍 일원,2020-09-23,2020-09-27,음성군 농산물축제,음성페스티벌기획실무위원회,음성군 축제추진 위원회,충청북도 음성군,043-871-3692,,2020년 행사일정 미확정,충청북도 음성군 금왕읍 무극로 370,충청북도 음성군 금왕읍 금석리 98,36.9937279407,127.6042949576,2020-05-26,4470000,충청북도 음성군
음성들깨축제,금왕생활체육공원,2020-09-23,2020-09-27,심포지엄 및 전국요리경연대회,음성군/음성들깨농촌융복합산업사업단,음성들깨농촌융복합산업사업단,충청북도 음성군,043-872-5442,,,,충청북도 음성군 생극면 병암리 773-4,37.032086,127.603688,2020-05-26,4470000,충청북도 음성군
계양산국악제,계산체육공원,2020-09-12,2020-09-13,"유명국악인 축하공연, 길놀이, 국악경연대회",계양구,계양구,인천광역시,032-450-5874,,,인천광역시 계양구 주부토로 570,,37.54504438,126.7289968,2020-06-02,3550000,인천광역시 계양구
