year,month,CARD_SIDO_NM,STD_CLSS_NM,CSTMR_CNT,AMT,CNT,AGE_10s,AGE_20s,AGE_30s,AGE_40s,AGE_50s,AGE_60s,AGE_70s,SEX_CTGO_CD_1,SEX_CTGO_CD_2,FLC_1,FLC_2,FLC_3,FLC_4,FLC_5,거주민_False,거주민_True
2019,1,강원,기타음식료품위주종합소매업,103377,7144544354,238188,8.0,190.0,411.0,619.0,602.0,353.0,91.0,1403.0,871.0,198.0,441.0,490.0,701.0,444.0,1299.0,975.0
2019,1,강원,내항 여객 운송업,19,434000,19,0.0,0.0,0.0,1.0,3.0,2.0,0.0,4.0,2.0,0.0,0.0,1.0,3.0,2.0,4.0,2.0
2019,1,강원,마사지업,185,28961000,234,0.0,2.0,4.0,11.0,10.0,7.0,0.0,27.0,7.0,2.0,5.0,6.0,14.0,7.0,0.0,34.0
2019,1,강원,면세점,41,3501010,56,0.0,0.0,0.0,1.0,3.0,3.0,0.0,6.0,1.0,0.0,0.0,1.0,3.0,3.0,0.0,7.0
2019,1,강원,버스 운송업,65,1130500,103,0.0,0.0,0.0,1.0,12.0,6.0,0.0,14.0,5.0,0.0,0.0,1.0,12.0,6.0,19.0,0.0
2019,1,강원,비알콜 음료점업,88453,1120332376,125663,21.0,1395.0,1006.0,996.0,788.0,265.0,32.0,2642.0,1861.0,1410.0,1076.0,819.0,901.0,297.0,3563.0,940.0
2019,1,강원,빵 및 과자류 소매업,69380,1226835185,95820,19.0,585.0,529.0,483.0,307.0,112.0,35.0,1044.0,1026.0,595.0,575.0,381.0,372.0,147.0,1290.0,780.0
2019,1,강원,서양식 음식점업,88439,2099455725,115981,15.0,996.0,870.0,729.0,582.0,211.0,29.0,1871.0,1561.0,1007.0,936.0,582.0,667.0,240.0,2577.0,855.0
2019,1,강원,수산물 소매업,12447,830580311,14836,0.0,42.0,221.0,366.0,469.0,386.0,78.0,796.0,766.0,50.0,247.0,279.0,522.0,464.0,1276.0,286.0
2019,1,강원,슈퍼마켓,226077,10091259925,517809,34.0,1375.0,1435.0,2051.0,1397.0,798.0,184.0,4378.0,2896.0,1447.0,1721.0,1353.0,1771.0,982.0,5927.0,1347.0
2019,1,강원,스포츠 및 레크레이션 용품 임대업,29958,3323164732,36105,8.0,600.0,555.0,612.0,323.0,101.0,35.0,1484.0,750.0,616.0,586.0,495.0,401.0,136.0,1716.0,518.0
2019,1,강원,여관업,11167,786795087,15243,0.0,187.0,243.0,291.0,372.0,152.0,15.0,927.0,333.0,190.0,248.0,249.0,406.0,167.0,920.0,340.0
2019,1,강원,여행사업,2801,88985160,2957,0.0,24.0,113.0,202.0,184.0,71.0,3.0,411.0,186.0,24.0,125.0,187.0,187.0,74.0,578.0,19.0
2019,1,강원,욕탕업,14257,307834266,21993,1.0,95.0,79.0,119.0,104.0,75.0,19.0,315.0,177.0,93.0,89.0,79.0,137.0,94.0,159.0,333.0
2019,1,강원,육류 소매업,28956,1788345413,41118,1.0,45.0,101.0,198.0,155.0,125.0,61.0,401.0,285.0,47.0,128.0,125.0,200.0,186.0,252.0,434.0
2019,1,강원,일반유흥 주점업,6019,1370688338,8714,0.0,42.0,65.0,85.0,48.0,31.0,12.0,209.0,74.0,42.0,72.0,51.0,75.0,43.0,54.0,229.0
2019,1,강원,일식 음식점업,28889,2062812117,31269,9.0,312.0,351.0,466.0,496.0,323.0,44.0,1272.0,729.0,315.0,393.0,357.0,569.0,367.0,1427.0,574.0
2019,1,강원,자동차 임대업,6,811000,6,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0
2019,1,강원,전시 및 행사 대행업,21826,1477031890,33163,19.0,347.0,418.0,713.0,361.0,114.0,16.0,1215.0,773.0,370.0,507.0,548.0,433.0,130.0,1806.0,182.0
2019,1,강원,중식 음식점업,45800,1377586438,54703,9.0,586.0,259.0,277.0,181.0,78.0,35.0,1080.0,345.0,593.0,289.0,191.0,239.0,113.0,801.0,624.0
2019,1,강원,차량용 가스 충전업,9091,668942409,13769,0.0,22.0,82.0,159.0,139.0,90.0,31.0,378.0,145.0,23.0,94.0,108.0,177.0,121.0,167.0,356.0
2019,1,강원,차량용 주유소 운영업,187857,15602772226,278004,2.0,434.0,1363.0,1826.0,1527.0,999.0,195.0,4427.0,1919.0,484.0,1567.0,1282.0,1819.0,1194.0,4845.0,1501.0
2019,1,강원,체인화 편의점,449262,8648963780,1068933,76.0,3660.0,2927.0,3398.0,2281.0,938.0,122.0,8809.0,4593.0,3833.0,3309.0,2416.0,2784.0,1060.0,11541.0,1861.0
2019,1,강원,택시 운송업,13,265900,15,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,3.0
2019,1,강원,피자 햄버거 샌드위치 및 유사 음식점업,98382,1576638786,134624,31.0,1780.0,935.0,968.0,564.0,127.0,27.0,2975.0,1457.0,1801.0,1014.0,802.0,661.0,154.0,3473.0,959.0
2019,1,강원,한식 음식점업,538607,25022306415,756976,40.0,2734.0,2886.0,3888.0,2935.0,1832.0,428.0,9131.0,5612.0,2834.0,3375.0,2680.0,3594.0,2260.0,12676.0,2067.0
2019,1,강원,호텔업,12061,1807852978,25666,0.0,168.0,328.0,516.0,353.0,136.0,24.0,948.0,577.0,186.0,377.0,401.0,401.0,160.0,1387.0,138.0
2019,1,강원,화장품 및 방향제 소매업,13171,700546682,15498,11.0,110.0,71.0,93.0,70.0,50.0,28.0,153.0,280.0,111.0,89.0,47.0,108.0,78.0,43.0,390.0
2019,1,강원,휴양콘도 운영업,46882,4227299850,88715,21.0,740.0,1274.0,1917.0,1136.0,397.0,79.0,3284.0,2280.0,800.0,1506.0,1522.0,1260.0,476.0,5175.0,389.0
2019,1,경기,건강보조식품 소매업,13579,1540124138,15011,2.0,46.0,204.0,219.0,239.0,224.0,114.0,468.0,580.0,42.0,235.0,166.0,267.0,338.0,212.0,836.0
2019,1,경기,골프장 운영업,11482,1471697265,16234,0.0,4.0,39.0,254.0,587.0,334.0,69.0,1068.0,219.0,4.0,48.0,235.0,597.0,403.0,573.0,714.0
2019,1,경기,과실 및 채소 소매업,200097,6965990944,305722,7.0,334.0,1036.0,1474.0,1345.0,1106.0,551.0,2743.0,3110.0,356.0,1179.0,1168.0,1493.0,1657.0,1897.0,3956.0
2019,1,경기,관광 민예품 및 선물용품 소매업,4249,134922788,5912,1.0,379.0,62.0,104.0,81.0,53.0,11.0,470.0,221.0,377.0,67.0,90.0,93.0,64.0,318.0,373.0
2019,1,경기,그외 기타 스포츠시설 운영업,1895,57059100,3242,1.0,27.0,52.0,108.0,42.0,7.0,0.0,134.0,103.0,27.0,67.0,88.0,48.0,7.0,15.0,222.0
2019,1,경기,그외 기타 종합 소매업,93564,10140807866,194224,6.0,264.0,541.0,711.0,661.0,460.0,180.0,1557.0,1266.0,275.0,607.0,555.0,746.0,640.0,1004.0,1819.0
2019,1,경기,기타 대형 종합 소매업,2166016,168460824719,4934999,190.0,4546.0,7526.0,7439.0,5128.0,3107.0,972.0,15360.0,13548.0,4974.0,8315.0,5498.0,6042.0,4079.0,15616.0,13292.0
2019,1,경기,기타 수상오락 서비스업,1144,70583518,1702,1.0,31.0,51.0,92.0,38.0,5.0,0.0,177.0,41.0,31.0,59.0,83.0,40.0,5.0,43.0,175.0
2019,1,경기,기타 외국식 음식점업,462947,12540594067,569123,75.0,1554.0,2183.0,2191.0,1886.0,981.0,354.0,6222.0,3002.0,1626.0,2439.0,1690.0,2134.0,1335.0,3479.0,5745.0
2019,1,경기,기타 주점업,12104,1582184220,16184,0.0,144.0,134.0,173.0,214.0,141.0,24.0,590.0,240.0,124.0,171.0,110.0,260.0,165.0,100.0,730.0
2019,1,경기,기타음식료품위주종합소매업,254757,16769768140,565636,24.0,452.0,857.0,1067.0,1150.0,862.0,318.0,2797.0,1933.0,483.0,940.0,832.0,1295.0,1180.0,1451.0,3279.0
2019,1,경기,마사지업,2438,392468500,3076,0.0,28.0,80.0,97.0,70.0,32.0,17.0,252.0,72.0,28.0,87.0,76.0,84.0,49.0,14.0,310.0
2019,1,경기,버스 운송업,5604,62597350,6456,1.0,51.0,65.0,66.0,47.0,30.0,14.0,147.0,127.0,50.0,81.0,44.0,55.0,44.0,50.0,224.0
2019,1,경기,비알콜 음료점업,1007897,11882350239,1701983,218.0,5240.0,5239.0,4209.0,3051.0,1268.0,301.0,11028.0,8498.0,5577.0,5751.0,3234.0,3395.0,1569.0,9472.0,10054.0
2019,1,경기,빵 및 과자류 소매업,977133,14735505216,1455292,140.0,2365.0,3486.0,3213.0,2248.0,1201.0,392.0,6508.0,6537.0,2521.0,3858.0,2518.0,2555.0,1593.0,5516.0,7529.0
2019,1,경기,서양식 음식점업,897316,21387980102,1294739,187.0,4258.0,4819.0,3752.0,2647.0,1245.0,318.0,9661.0,7565.0,4545.0,5266.0,2882.0,2970.0,1563.0,8092.0,9134.0
2019,1,경기,수산물 소매업,70260,3587788571,96407,0.0,131.0,441.0,700.0,653.0,547.0,242.0,1415.0,1299.0,132.0,527.0,501.0,765.0,789.0,666.0,2048.0
2019,1,경기,슈퍼마켓,2386718,120715686251,6636585,159.0,3504.0,5393.0,5536.0,4656.0,2867.0,830.0,14004.0,8941.0,3897.0,5795.0,4155.0,5401.0,3697.0,11436.0,11509.0
2019,1,경기,스포츠 및 레크레이션 용품 임대업,113127,13790082740,144786,14.0,696.0,1059.0,1430.0,1325.0,901.0,356.0,3294.0,2487.0,699.0,1213.0,1070.0,1542.0,1257.0,2293.0,3488.0
2019,1,경기,여관업,71521,4353331241,101951,1.0,1224.0,1304.0,1137.0,1075.0,431.0,78.0,4163.0,1087.0,1187.0,1458.0,873.0,1223.0,509.0,2018.0,3232.0
2019,1,경기,여행사업,478,22641916,573,0.0,4.0,37.0,18.0,12.0,4.0,2.0,37.0,40.0,6.0,37.0,15.0,13.0,6.0,35.0,42.0
2019,1,경기,욕탕업,190916,3914341453,285403,44.0,583.0,827.0,1163.0,1113.0,710.0,316.0,2875.0,1881.0,612.0,991.0,866.0,1261.0,1026.0,1313.0,3443.0
2019,1,경기,육류 소매업,394128,17766091512,591333,10.0,367.0,922.0,1113.0,1057.0,800.0,448.0,2515.0,2202.0,380.0,1020.0,859.0,1210.0,1248.0,1207.0,3510.0
2019,1,경기,일반유흥 주점업,48367,7710473256,74703,0.0,613.0,620.0,657.0,435.0,152.0,31.0,1834.0,674.0,598.0,728.0,455.0,544.0,183.0,618.0,1890.0
2019,1,경기,일식 음식점업,228984,11485652872,263353,84.0,1532.0,1629.0,1390.0,961.0,474.0,172.0,3903.0,2339.0,1593.0,1834.0,1052.0,1117.0,646.0,2068.0,4174.0
2019,1,경기,자동차 임대업,912,453308644,999,0.0,21.0,62.0,69.0,67.0,7.0,0.0,171.0,55.0,21.0,64.0,65.0,69.0,7.0,123.0,103.0
2019,1,경기,전시 및 행사 대행업,39964,1546612222,71048,45.0,627.0,1199.0,1373.0,497.0,182.0,38.0,2133.0,1828.0,651.0,1471.0,1052.0,567.0,220.0,1939.0,2022.0
2019,1,경기,중식 음식점업,539054,16088642741,670586,99.0,1710.0,2450.0,2546.0,1870.0,881.0,305.0,6855.0,3006.0,1827.0,2751.0,1927.0,2170.0,1186.0,3887.0,5974.0
2019,1,경기,차량용 가스 충전업,56104,3095535180,94438,0.0,188.0,567.0,898.0,852.0,685.0,211.0,2514.0,887.0,178.0,691.0,661.0,975.0,896.0,1091.0,2310.0
2019,1,경기,차량용 주유소 운영업,1531671,121547869665,2375881,7.0,2127.0,5736.0,7504.0,5743.0,3972.0,1232.0,17702.0,8619.0,2374.0,6701.0,5205.0,6837.0,5204.0,13801.0,12520.0
2019,1,경기,체인화 편의점,3957977,83177758410,11414803,375.0,11097.0,10924.0,11314.0,7163.0,3740.0,816.0,29117.0,16312.0,11949.0,12369.0,7511.0,9044.0,4556.0,26862.0,18567.0
2019,1,경기,택시 운송업,17692,139291280,18558,3.0,162.0,153.0,109.0,77.0,41.0,6.0,308.0,243.0,160.0,172.0,77.0,95.0,47.0,108.0,443.0
2019,1,경기,피자 햄버거 샌드위치 및 유사 음식점업,1138974,17878429917,1657405,240.0,5688.0,5187.0,4302.0,2601.0,968.0,253.0,11990.0,7249.0,6034.0,5663.0,3314.0,3007.0,1221.0,9694.0,9545.0
2019,1,경기,한식 음식점업,4701244,223599846219,7476886,324.0,9874.0,11189.0,13566.0,9302.0,6330.0,2563.0,32341.0,20807.0,10814.0,12927.0,8769.0,11745.0,8893.0,31788.0,21360.0
2019,1,경기,호텔업,2046,389691163,2692,0.0,17.0,79.0,99.0,68.0,36.0,4.0,193.0,110.0,17.0,88.0,82.0,76.0,40.0,61.0,242.0
2019,1,경기,화장품 및 방향제 소매업,169664,7081712315,205964,98.0,1023.0,996.0,798.0,719.0,457.0,227.0,1527.0,2791.0,1079.0,1125.0,583.0,847.0,684.0,1239.0,3079.0
2019,1,경기,휴양콘도 운영업,4119,226244771,5871,0.0,130.0,169.0,258.0,122.0,49.0,12.0,437.0,303.0,128.0,194.0,226.0,131.0,61.0,382.0,358.0
2019,1,경남,건강보조식품 소매업,3256,413897386,3666,0.0,7.0,37.0,51.0,56.0,43.0,20.0,100.0,114.0,4.0,44.0,32.0,71.0,63.0,5.0,209.0
2019,1,경남,골프장 운영업,17045,2720329450,24745,0.0,64.0,137.0,350.0,424.0,271.0,64.0,907.0,403.0,70.0,155.0,245.0,505.0,335.0,702.0,608.0
2019,1,경남,과실 및 채소 소매업,58748,3201287308,86652,0.0,55.0,219.0,375.0,409.0,347.0,123.0,809.0,719.0,57.0,248.0,249.0,504.0,470.0,472.0,1056.0
2019,1,경남,관광 민예품 및 선물용품 소매업,700,41680368,913,0.0,20.0,27.0,35.0,50.0,23.0,2.0,86.0,71.0,20.0,27.0,34.0,51.0,25.0,50.0,107.0
2019,1,경남,그외 기타 분류안된 오락관련 서비스업,6,463500,14,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0
2019,1,경남,그외 기타 스포츠시설 운영업,842,20833700,1295,0.0,9.0,19.0,39.0,7.0,1.0,0.0,46.0,29.0,9.0,22.0,30.0,13.0,1.0,0.0,75.0
2019,1,경남,그외 기타 종합 소매업,11689,1249173640,22704,0.0,22.0,80.0,106.0,86.0,65.0,24.0,213.0,170.0,22.0,87.0,72.0,113.0,89.0,87.0,296.0
2019,1,경남,기타 대형 종합 소매업,360022,25810400549,773215,32.0,725.0,1292.0,1109.0,711.0,397.0,148.0,2525.0,1889.0,819.0,1341.0,766.0,943.0,545.0,2178.0,2236.0
2019,1,경남,기타 수상오락 서비스업,98,4128847,139,0.0,3.0,6.0,7.0,3.0,0.0,0.0,18.0,1.0,3.0,6.0,7.0,3.0,0.0,0.0,19.0
2019,1,경남,기타 외국식 음식점업,58538,2156205113,67182,6.0,171.0,308.0,351.0,254.0,153.0,57.0,756.0,544.0,179.0,338.0,231.0,342.0,210.0,315.0,985.0
2019,1,경남,기타 주점업,5483,662824990,7298,0.0,47.0,54.0,73.0,65.0,46.0,8.0,207.0,86.0,48.0,59.0,44.0,88.0,54.0,10.0,283.0
2019,1,경남,기타음식료품위주종합소매업,164428,10887317737,375441,18.0,242.0,488.0,613.0,613.0,420.0,128.0,1474.0,1048.0,279.0,508.0,437.0,750.0,548.0,765.0,1757.0
2019,1,경남,내항 여객 운송업,327,16887900,779,0.0,1.0,3.0,6.0,25.0,13.0,1.0,32.0,17.0,1.0,3.0,4.0,27.0,14.0,15.0,34.0
2019,1,경남,마사지업,300,50163200,411,0.0,2.0,11.0,15.0,12.0,0.0,0.0,36.0,4.0,3.0,10.0,11.0,16.0,0.0,0.0,40.0
2019,1,경남,버스 운송업,6753,81624858,10324,2.0,181.0,100.0,73.0,77.0,52.0,12.0,266.0,231.0,162.0,125.0,51.0,95.0,64.0,199.0,298.0
2019,1,경남,비알콜 음료점업,214038,2611717189,327930,51.0,891.0,958.0,812.0,526.0,253.0,51.0,1932.0,1610.0,954.0,1017.0,570.0,697.0,304.0,1537.0,2005.0
2019,1,경남,빵 및 과자류 소매업,203279,3468492165,283694,32.0,507.0,575.0,605.0,399.0,218.0,70.0,1229.0,1177.0,551.0,637.0,397.0,533.0,288.0,811.0,1595.0
2019,1,경남,서양식 음식점업,174617,4546377129,228115,42.0,838.0,856.0,659.0,479.0,227.0,56.0,1707.0,1450.0,885.0,924.0,442.0,623.0,283.0,1302.0,1855.0
2019,1,경남,수산물 소매업,14484,1205998466,17037,0.0,28.0,86.0,153.0,236.0,203.0,68.0,426.0,348.0,24.0,103.0,105.0,271.0,271.0,290.0,484.0
2019,1,경남,슈퍼마켓,506439,22547713678,1309074,45.0,673.0,1134.0,1206.0,1046.0,635.0,189.0,3132.0,1796.0,775.0,1174.0,835.0,1320.0,824.0,2239.0,2689.0
2019,1,경남,스포츠 및 레크레이션 용품 임대업,39923,4717183758,53664,3.0,152.0,298.0,437.0,361.0,263.0,94.0,1039.0,569.0,170.0,320.0,289.0,472.0,357.0,588.0,1020.0
2019,1,경남,여관업,19937,1133966355,27163,1.0,193.0,299.0,330.0,300.0,117.0,24.0,956.0,308.0,192.0,330.0,225.0,376.0,141.0,479.0,785.0
2019,1,경남,여행사업,14,5283200,17,0.0,0.0,1.0,0.0,3.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,3.0,0.0,0.0,4.0
2019,1,경남,욕탕업,51857,1518620052,77605,11.0,127.0,226.0,352.0,294.0,234.0,68.0,767.0,545.0,140.0,256.0,235.0,379.0,302.0,365.0,947.0
2019,1,경남,육류 소매업,96467,4743458836,141823,0.0,117.0,288.0,381.0,311.0,274.0,155.0,847.0,679.0,138.0,298.0,251.0,410.0,429.0,456.0,1070.0
2019,1,경남,일반유흥 주점업,26322,5035557010,36278,0.0,147.0,198.0,209.0,145.0,82.0,21.0,579.0,223.0,144.0,221.0,126.0,208.0,103.0,140.0,662.0
2019,1,경남,일식 음식점업,41004,2614006610,45316,4.0,203.0,247.0,285.0,238.0,181.0,57.0,756.0,459.0,196.0,290.0,178.0,313.0,238.0,280.0,935.0
2019,1,경남,자동차 임대업,10,2708271,11,0.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0
2019,1,경남,전시 및 행사 대행업,2639,59334000,2892,0.0,32.0,157.0,147.0,116.0,47.0,2.0,295.0,206.0,27.0,174.0,131.0,120.0,49.0,227.0,274.0
2019,1,경남,중식 음식점업,92252,2521546998,109122,14.0,263.0,389.0,454.0,336.0,202.0,64.0,1161.0,561.0,286.0,414.0,308.0,448.0,266.0,509.0,1213.0
2019,1,경남,차량용 가스 충전업,23275,1293051002,39025,1.0,51.0,185.0,314.0,241.0,173.0,68.0,738.0,295.0,58.0,219.0,189.0,326.0,241.0,266.0,767.0
2019,1,경남,차량용 주유소 운영업,459646,44119183277,727231,2.0,545.0,1507.0,1955.0,1760.0,1154.0,283.0,5155.0,2051.0,609.0,1635.0,1298.0,2227.0,1437.0,4150.0,3056.0
2019,1,경남,체인화 편의점,869394,17800235187,2327254,92.0,2286.0,2430.0,2341.0,1523.0,572.0,140.0,6471.0,2913.0,2509.0,2546.0,1610.0,2007.0,712.0,5908.0,3476.0
2019,1,경남,택시 운송업,2895,20089170,2954,0.0,59.0,60.0,38.0,47.0,28.0,5.0,115.0,122.0,65.0,59.0,30.0,50.0,33.0,225.0,12.0
2019,1,경남,피자 햄버거 샌드위치 및 유사 음식점업,265975,4293000932,383572,62.0,1038.0,1032.0,786.0,374.0,167.0,54.0,2153.0,1360.0,1131.0,1091.0,518.0,552.0,221.0,1543.0,1970.0
2019,1,경남,한식 음식점업,1192718,59502043775,1806063,66.0,2245.0,3343.0,4279.0,3439.0,2115.0,513.0,10254.0,5746.0,2457.0,3665.0,2840.0,4410.0,2628.0,11292.0,4708.0
2019,1,경남,호텔업,643,144925635,807,0.0,4.0,20.0,22.0,24.0,14.0,2.0,56.0,30.0,3.0,22.0,18.0,27.0,16.0,6.0,80.0
2019,1,경남,화장품 및 방향제 소매업,44221,2129406848,53642,23.0,256.0,220.0,232.0,167.0,89.0,47.0,412.0,622.0,273.0,250.0,131.0,244.0,136.0,183.0,851.0
2019,1,경남,휴양콘도 운영업,5465,613753878,11607,0.0,17.0,145.0,256.0,166.0,63.0,5.0,393.0,259.0,17.0,180.0,204.0,183.0,68.0,496.0,156.0
2019,1,경북,건강보조식품 소매업,1786,284178152,1916,0.0,8.0,26.0,34.0,47.0,55.0,27.0,94.0,103.0,6.0,27.0,28.0,54.0,82.0,56.0,141.0
2019,1,경북,골프장 운영업,14846,1829791970,20778,0.0,5.0,46.0,228.0,363.0,225.0,41.0,653.0,255.0,5.0,52.0,166.0,419.0,266.0,607.0,301.0
2019,1,경북,과실 및 채소 소매업,40557,2384347737,57868,0.0,120.0,248.0,345.0,458.0,376.0,124.0,918.0,753.0,118.0,267.0,259.0,527.0,500.0,907.0,764.0
2019,1,경북,관광 민예품 및 선물용품 소매업,1842,50416060,2860,0.0,155.0,15.0,36.0,37.0,22.0,2.0,203.0,64.0,155.0,15.0,33.0,40.0,24.0,194.0,73.0
2019,1,경북,그외 기타 분류안된 오락관련 서비스업,4,195000,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2019,1,경북,그외 기타 스포츠시설 운영업,682,17645600,1173,0.0,4.0,13.0,38.0,7.0,2.0,0.0,35.0,29.0,4.0,20.0,23.0,15.0,2.0,0.0,64.0
2019,1,경북,그외 기타 종합 소매업,10701,746948370,19071,2.0,139.0,96.0,118.0,94.0,61.0,30.0,288.0,252.0,137.0,103.0,84.0,125.0,91.0,309.0,231.0
2019,1,경북,기타 대형 종합 소매업,225184,16081779821,456413,28.0,608.0,987.0,820.0,567.0,295.0,89.0,1969.0,1425.0,659.0,1020.0,608.0,723.0,384.0,1917.0,1477.0
2019,1,경북,기타 수상오락 서비스업,53,1441600,61,0.0,3.0,1.0,8.0,1.0,0.0,0.0,12.0,1.0,3.0,1.0,8.0,1.0,0.0,1.0,12.0
2019,1,경북,기타 외국식 음식점업,41413,1434047123,46834,1.0,144.0,183.0,223.0,181.0,107.0,41.0,537.0,343.0,141.0,203.0,145.0,243.0,148.0,207.0,673.0
2019,1,경북,기타 주점업,3205,396003929,4227,0.0,25.0,20.0,30.0,33.0,24.0,4.0,97.0,39.0,21.0,29.0,16.0,42.0,28.0,1.0,135.0
2019,1,경북,기타음식료품위주종합소매업,115277,7921181919,281030,9.0,290.0,449.0,544.0,573.0,367.0,123.0,1462.0,893.0,324.0,448.0,397.0,696.0,490.0,1229.0,1126.0
2019,1,경북,내항 여객 운송업,72,3566000,76,0.0,0.0,3.0,6.0,5.0,3.0,0.0,14.0,3.0,0.0,3.0,6.0,5.0,3.0,6.0,11.0
2019,1,경북,마사지업,136,18398000,182,0.0,0.0,6.0,6.0,9.0,2.0,0.0,22.0,1.0,0.0,6.0,6.0,9.0,2.0,0.0,23.0
2019,1,경북,비알콜 음료점업,139854,1749268087,202551,31.0,730.0,781.0,699.0,661.0,247.0,37.0,1748.0,1438.0,762.0,812.0,537.0,791.0,284.0,1919.0,1267.0
2019,1,경북,빵 및 과자류 소매업,131762,2182383475,180049,23.0,563.0,585.0,532.0,378.0,183.0,56.0,1217.0,1103.0,579.0,622.0,398.0,482.0,239.0,1245.0,1075.0
2019,1,경북,서양식 음식점업,133517,2559135894,179696,27.0,912.0,941.0,909.0,684.0,362.0,58.0,2211.0,1682.0,927.0,1043.0,634.0,869.0,420.0,2569.0,1324.0
2019,1,경북,수산물 소매업,24042,1895458753,28981,0.0,74.0,219.0,357.0,456.0,346.0,85.0,950.0,587.0,81.0,236.0,250.0,539.0,431.0,876.0,661.0
2019,1,경북,슈퍼마켓,468323,21461584707,1241008,45.0,968.0,1039.0,1088.0,989.0,537.0,160.0,3121.0,1705.0,1028.0,1097.0,789.0,1215.0,697.0,2952.0,1874.0
2019,1,경북,스포츠 및 레크레이션 용품 임대업,33309,4840729397,42318,4.0,104.0,175.0,249.0,208.0,137.0,56.0,551.0,382.0,111.0,190.0,159.0,280.0,193.0,232.0,701.0
2019,1,경북,여관업,9882,517696639,13701,1.0,134.0,149.0,181.0,240.0,72.0,8.0,595.0,190.0,129.0,164.0,131.0,281.0,80.0,402.0,383.0
2019,1,경북,여행사업,3,89000,3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
2019,1,경북,욕탕업,30000,817427689,45052,5.0,118.0,173.0,253.0,216.0,175.0,63.0,586.0,417.0,119.0,198.0,159.0,289.0,238.0,388.0,615.0
2019,1,경북,육류 소매업,91535,4794490885,132914,0.0,101.0,230.0,325.0,312.0,275.0,157.0,756.0,644.0,105.0,255.0,201.0,407.0,432.0,548.0,852.0
2019,1,경북,일반유흥 주점업,7900,1546412872,10800,0.0,50.0,60.0,96.0,68.0,38.0,18.0,250.0,80.0,46.0,73.0,49.0,106.0,56.0,30.0,300.0
2019,1,경북,일식 음식점업,24139,1282923702,26678,4.0,197.0,178.0,191.0,155.0,102.0,28.0,511.0,344.0,196.0,197.0,121.0,211.0,130.0,269.0,586.0
2019,1,경북,자동차 임대업,4,1367000,5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
